"object_name";"r_start_date";"r_act_seqno";"r_object_id";"r_workflow_id";"r_runtime_state";"r_act_def_id";"workflow_name";"r_creation_date";"supervisor_name";"r_exec_time_out";"r_exec_os_error";"r_exec_launch"
"Create Contract Folder";02-2-2024 13:47:29;1;"4a001b5a800f29b5";"4d001b5a8006dd0a";5;"4c001b5a8008fb98";"Aprobare Contract 2024-02-02";08-2-2024 16:26:39;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";02-2-2024 10:52:39;1;"4a001b5a800f29c1";"4d001b5a8006d914";5;"4c001b5a8008fb98";"Aprobare Contract 2024-02-02";08-2-2024 16:27:09;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";01-2-2024 17:48:43;1;"4a001b5a800f29c4";"4d001b5a8006c9a8";5;"4c001b5a8008fb98";"Aprobare Contract 2024-02-01";08-2-2024 16:27:09;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";01-2-2024 17:48:43;1;"4a001b5a800f29c5";"4d001b5a8006c9a7";5;"4c001b5a8008fb98";"Aprobare Contract 2024-02-01";08-2-2024 16:27:09;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";01-2-2024 13:01:29;1;"4a001b5a800f29c7";"4d001b5a8006c9a6";5;"4c001b5a8008fb98";"Aprobare Contract 2024-02-01";08-2-2024 16:27:10;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";01-2-2024 13:01:28;1;"4a001b5a800f29c8";"4d001b5a8006c9a5";5;"4c001b5a8008fb98";"Aprobare Contract 2024-02-01";08-2-2024 16:27:10;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";04-1-2024 10:41:20;1;"4a001b5a800ed757";"4d001b5a8006aa8c";5;"4c001b5a8008fb98";"Aprobare Contract 2024-01-04";04-1-2024 10:41:21;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";04-1-2024 10:17:43;1;"4a001b5a800ed755";"4d001b5a8006aa8b";5;"4c001b5a8008fb98";"Aprobare Contract 2024-01-04";04-1-2024 10:17:44;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";04-1-2024 10:09:01;1;"4a001b5a800ed753";"4d001b5a8006aa8a";5;"4c001b5a8008fb98";"Aprobare Contract 2024-01-04";04-1-2024 10:09:02;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";04-1-2024 09:58:41;1;"4a001b5a800ed751";"4d001b5a8006aa89";5;"4c001b5a8008fb98";"Aprobare Contract 2024-01-04";04-1-2024 09:58:42;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";04-1-2024 09:36:17;1;"4a001b5a800ed74f";"4d001b5a8006aa88";5;"4c001b5a8008fb98";"Aprobare Contract 2024-01-04";04-1-2024 09:36:18;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";04-1-2024 08:28:24;1;"4a001b5a800ed74d";"4d001b5a8006aa87";5;"4c001b5a8008fb98";"Aprobare Contract 2024-01-04";04-1-2024 08:28:25;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";03-1-2024 16:48:46;1;"4a001b5a800ed74b";"4d001b5a8006aa86";5;"4c001b5a8008fb98";"Aprobare Contract 2024-01-03";03-1-2024 16:48:47;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";03-1-2024 13:00:01;1;"4a001b5a800ed73a";"4d001b5a8006aa85";5;"4c001b5a8008fb98";"Aprobare Contract 2024-01-03";03-1-2024 13:00:02;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";03-1-2024 12:46:18;1;"4a001b5a800ed738";"4d001b5a8006aa84";5;"4c001b5a8008fb98";"Aprobare Contract 2024-01-03";03-1-2024 12:46:19;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";03-1-2024 11:43:01;1;"4a001b5a800ed736";"4d001b5a8006aa83";5;"4c001b5a8008fb98";"Aprobare Contract 2024-01-03";03-1-2024 11:43:02;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";03-1-2024 11:27:08;1;"4a001b5a800ed734";"4d001b5a8006aa82";5;"4c001b5a8008fb98";"Aprobare Contract 2024-01-03";03-1-2024 11:27:09;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";03-1-2024 11:14:07;1;"4a001b5a800ed732";"4d001b5a8006aa81";5;"4c001b5a8008fb98";"Aprobare Contract 2024-01-03";03-1-2024 11:14:08;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Retrieve Siebel Info";20-12-2023 17:25:41;4;"4a001b5a800ee601";"4d001b5a8006aa7d";5;"4c001b5a80005120";"Aprobare Contract 2023-12-20";12-1-2024 18:50:35;"usadmin";0;"DfException:: THREAD: default task-96; MSG: Could not invoke child process <urn:im:com.emc.ide.artifact.process:Artifacts/Processes/set_contract_info_from_siebel.process>; ERRORCODE: ff; NEXT: null";0
"Create Contract Folder";19-12-2023 15:48:18;1;"4a001b5a800ed726";"4d001b5a8006aa17";5;"4c001b5a8008fb98";"Aprobare Contract 2023-12-19";19-12-2023 15:48:34;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";22-11-2023 12:43:43;1;"4a001b5a800ec5cf";"4d001b5a8006a39f";5;"4c001b5a8008fb98";"Aprobare Contract 2023-11-22";22-11-2023 12:43:44;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Reject Dossier Contracts to Siebel";16-11-2023 09:18:37;31;"4a001b5a800e9bc2";"4d001b5a8006914f";5;"4c001b5a8007203c";"Aprobare Contract 2023-11-16";16-11-2023 11:11:45;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'rejectSimilarContractsToSiebel' from interface 'class com.planet.bt.modules.fast.FastOperations' from BOF module 'im_fastoperations'";0
"Reject to Siebel";15-11-2023 17:34:04;29;"4a001b5a800e9bc7";"4d001b5a8006913c";5;"4c001b5a80004fff";"Aprobare Contract 2023-11-15";16-11-2023 11:12:09;"usadmin";0;"DfException:: THREAD: default task-111; MSG: Could not invoke child process <urn:im:com.emc.ide.artifact.process:Artifacts/Processes/fast_update_status_cerere_contract.process>; ERRORCODE: ff; NEXT: null";0
"Reject to Siebel";15-11-2023 14:02:32;31;"4a001b5a800e9ec2";"4d001b5a80069101";5;"4c001b5a80004fff";"Aprobare Contract 2023-11-15";16-11-2023 13:35:32;"usadmin";0;"DfException:: THREAD: default task-108; MSG: Could not invoke child process <urn:im:com.emc.ide.artifact.process:Artifacts/Processes/fast_update_status_cerere_contract.process>; ERRORCODE: ff; NEXT: null";0
